DATA;ESTADO;CASOS NOVOS;CASOS TOTAIS;ÓBITOS NOVOS;ÓBITOS TOTAIS;;;;
07/07/2022;RJ;2;30;0;0;;;;
07/07/2022;RN;0;1;0;0;;;;
07/07/2022;RS;0;2;0;0;;;;
07/07/2022;RO;0;0;0;0;;;;
07/07/2022;RR;0;0;0;0;;;;
07/07/2022;SC;1;1;0;0;;;;
07/07/2022;SP;23;121;0;0;;;;
07/07/2022;SE;0;0;0;0;;;;
07/07/2022;TO;0;0;0;0;;;;
08/07/2022;AC;0;0;0;0;;;;
08/07/2022;AL;0;0;0;0;;;;
08/07/2022;AP;0;0;0;0;;;;
08/07/2022;AM;0;0;0;0;;;;
08/07/2022;BA;0;0;0;0;;;;
08/07/2022;CE;0;2;0;0;;;;
08/07/2022;DF;0;1;0;0;;;;
08/07/2022;ES;1;1;0;0;;;;
08/07/2022;GO;2;2;0;0;;;;
08/07/2022;MA;0;0;0;0;;;;
08/07/2022;MT;0;0;0;0;;;;
08/07/2022;MS;0;0;0;0;;;;
08/07/2022;MG;2;14;0;0;;;;
08/07/2022;PA;0;0;0;0;;;;
08/07/2022;PB;0;0;0;0;;;;
08/07/2022;PR;0;3;0;0;;;;
08/07/2022;PE;0;0;0;0;;;;
08/07/2022;PI;0;0;0;0;;;;
08/07/2022;RJ;3;33;0;0;;;;
08/07/2022;RN;0;1;0;0;;;;
08/07/2022;RS;1;3;0;0;;;;
08/07/2022;RO;0;0;0;0;;;;
08/07/2022;RR;0;0;0;0;;;;
08/07/2022;SC;0;1;0;0;;;;
08/07/2022;SP;24;145;0;0;;;;
08/07/2022;SE;0;0;0;0;;;;
08/07/2022;TO;0;0;0;0;;;;
09/07/2022;AC;0;0;0;0;;;;
09/07/2022;AL;0;0;0;0;;;;
09/07/2022;AP;0;0;0;0;;;;
09/07/2022;AM;0;0;0;0;;;;
09/07/2022;BA;0;0;0;0;;;;
09/07/2022;CE;0;2;0;0;;;;
09/07/2022;DF;0;1;0;0;;;;
09/07/2022;ES;0;1;0;0;;;;
09/07/2022;GO;0;2;0;0;;;;
09/07/2022;MA;0;0;0;0;;;;
09/07/2022;MT;0;0;0;0;;;;
09/07/2022;MS;0;0;0;0;;;;
09/07/2022;MG;0;14;0;0;;;;
09/07/2022;PA;0;0;0;0;;;;
09/07/2022;PB;0;0;0;0;;;;
09/07/2022;PR;0;3;0;0;;;;
09/07/2022;PE;0;0;0;0;;;;
09/07/2022;PI;0;0;0;0;;;;
09/07/2022;RJ;0;33;0;0;;;;
09/07/2022;RN;0;1;0;0;;;;
09/07/2022;RS;0;3;0;0;;;;
09/07/2022;RO;0;0;0;0;;;;
09/07/2022;RR;0;0;0;0;;;;
09/07/2022;SC;0;1;0;0;;;;
09/07/2022;SP;0;145;0;0;;;;
09/07/2022;SE;0;0;0;0;;;;
09/07/2022;TO;0;0;0;0;;;;
10/07/2022;AC;0;0;0;0;;;;
10/07/2022;AL;0;0;0;0;;;;
10/07/2022;AP;0;0;0;0;;;;
10/07/2022;AM;0;0;0;0;;;;
10/07/2022;BA;0;0;0;0;;;;
10/07/2022;CE;0;2;0;0;;;;
10/07/2022;DF;0;1;0;0;;;;
10/07/2022;ES;0;1;0;0;;;;
10/07/2022;GO;0;2;0;0;;;;
10/07/2022;MA;0;0;0;0;;;;
10/07/2022;MT;0;0;0;0;;;;
10/07/2022;MS;0;0;0;0;;;;
10/07/2022;MG;0;14;0;0;;;;
10/07/2022;PA;0;0;0;0;;;;
10/07/2022;PB;0;0;0;0;;;;
10/07/2022;PR;0;3;0;0;;;;
10/07/2022;PE;0;0;0;0;;;;
10/07/2022;PI;0;0;0;0;;;;
10/07/2022;RJ;0;33;0;0;;;;
10/07/2022;RN;0;1;0;0;;;;
10/07/2022;RS;0;3;0;0;;;;
10/07/2022;RO;0;0;0;0;;;;
10/07/2022;RR;0;0;0;0;;;;
10/07/2022;SC;0;1;0;0;;;;
10/07/2022;SP;0;145;0;0;;;;
10/07/2022;SE;0;0;0;0;;;;
10/07/2022;TO;0;0;0;0;;;;
11/07/2022;AC;0;0;0;0;;;;
11/07/2022;AL;0;0;0;0;;;;
11/07/2022;AP;0;0;0;0;;;;
11/07/2022;AM;0;0;0;0;;;;
11/07/2022;BA;0;0;0;0;;;;
11/07/2022;CE;0;2;0;0;;;;
11/07/2022;DF;0;1;0;0;;;;
11/07/2022;ES;0;1;0;0;;;;
11/07/2022;GO;0;2;0;0;;;;
11/07/2022;MA;0;0;0;0;;;;
11/07/2022;MT;0;0;0;0;;;;
11/07/2022;MS;0;0;0;0;;;;
11/07/2022;MG;0;14;0;0;;;;
11/07/2022;PA;0;0;0;0;;;;
11/07/2022;PB;0;0;0;0;;;;
11/07/2022;PR;0;3;0;0;;;;
11/07/2022;PE;0;0;0;0;;;;
11/07/2022;PI;0;0;0;0;;;;
11/07/2022;RJ;0;33;0;0;;;;
11/07/2022;RN;0;1;0;0;;;;
11/07/2022;RS;0;3;0;0;;;;
11/07/2022;RO;0;0;0;0;;;;
11/07/2022;RR;0;0;0;0;;;;
11/07/2022;SC;0;1;0;0;;;;
11/07/2022;SP;0;145;0;0;;;;
11/07/2022;SE;0;0;0;0;;;;
11/07/2022;TO;0;0;0;0;;;;
12/07/2022;AC;0;0;0;0;;;;
12/07/2022;AL;0;0;0;0;;;;
12/07/2022;AP;0;0;0;0;;;;
12/07/2022;AM;0;0;0;0;;;;
12/07/2022;BA;0;0;0;0;;;;
12/07/2022;CE;0;2;0;0;;;;
12/07/2022;DF;0;1;0;0;;;;
12/07/2022;ES;0;1;0;0;;;;
12/07/2022;GO;0;2;0;0;;;;
12/07/2022;MA;0;0;0;0;;;;
12/07/2022;MT;0;0;0;0;;;;
12/07/2022;MS;0;0;0;0;;;;
12/07/2022;MG;0;14;0;0;;;;
12/07/2022;PA;0;0;0;0;;;;
12/07/2022;PB;0;0;0;0;;;;
